,ORDER_ID,PRODUCT_ID,PAYMENT_METHOD,TOTAL_VALUE,CREATED_AT,STORE_TO_USER_DISTANCE,OBSF_USER_ID,OBSF_STORE_TYPE
2040,35400694,2090276457,cc,9460.0,2019-04-15 19:13:28+00:00,2655.0,4563,5
2041,35421206,2090276457,cc,6360.0,2019-04-16 22:55:56+00:00,2480.0,3806,5
2042,35421224,2090276457,cc,3980.0,2019-04-16 22:57:19+00:00,4169.0,5704,14
2043,35406544,2090276459,cash,9580.0,2019-04-15 23:36:01+00:00,1210.0,9521,5
2044,35421204,2090276459,cash,13070.0,2019-04-16 22:55:45+00:00,1210.0,9521,5
2045,35399943,2090276461,cc,5670.0,2019-04-15 18:41:21+00:00,896.0,6832,5
2046,35406153,2090276465,cc,3390.0,2019-04-15 22:50:20+00:00,2098.0,9815,5
2047,35418893,2090276466,cash,3190.0,2019-04-16 20:46:34+00:00,2428.0,10695,5
2048,35406376,2090276466,cc,7170.0,2019-04-15 23:12:21+00:00,2363.0,10339,14
2049,35406707,2090276467,cash,4880.0,2019-04-16 00:29:29+00:00,2261.0,15758,5
2050,35419421,2090276472,cc,11170.0,2019-04-16 21:06:19+00:00,4329.0,18974,5
2051,35404781,2090276472,cc,3390.0,2019-04-15 21:31:13+00:00,4585.0,1978,5
2052,35416493,2090276473,cash,0.0,2019-04-16 19:32:26+00:00,3432.0,1884,5
2053,35421386,2090276473,cc,0.0,2019-04-16 23:24:16+00:00,2669.0,5006,14
2054,35406772,2090276473,cc,8130.0,2019-04-16 01:08:39+00:00,2058.0,310,5
2055,35421334,2090276476,cc,2590.0,2019-04-16 23:13:41+00:00,5469.0,11641,14
2056,35405107,2090276477,cc,6650.0,2019-04-15 21:46:07+00:00,1604.0,25659,5
2057,35405984,2090276477,cash,0.0,2019-04-15 22:37:18+00:00,2862.0,4745,5
2058,35411167,2090276477,cash,930.0,2019-04-16 14:21:53+00:00,2656.0,1738,5
2059,35398181,2090276477,cc,5430.0,2019-04-15 16:57:39+00:00,3244.0,6946,5
2060,35403456,2090276478,cc,8400.0,2019-04-15 20:46:57+00:00,3146.0,10427,5
2061,35405618,2090276478,cc,30230.0,2019-04-15 22:13:18+00:00,2678.0,32,5
2062,35406569,2090276481,cash,0.0,2019-04-15 23:39:43+00:00,1834.0,23,14
2063,35399436,2090276483,cash,0.0,2019-04-15 18:17:29+00:00,6907.0,3512,5
2064,35420355,2090276483,cash,6750.0,2019-04-16 21:49:57+00:00,3072.0,17590,5
2065,35401421,2090276483,cc,11300.0,2019-04-15 19:37:49+00:00,2599.0,22821,5
2066,35401808,2090276483,cc,3250.0,2019-04-15 19:50:58+00:00,3112.0,41,5
2067,35404903,2090276483,cash,5650.0,2019-04-15 21:37:39+00:00,2996.0,1820,5
2068,35405597,2090276483,cc,540.0,2019-04-15 22:11:55+00:00,3196.0,7191,5
2069,35406189,2090276483,cash,3650.0,2019-04-15 22:53:55+00:00,2332.0,16077,5
2070,35406210,2090276483,cash,3400.0,2019-04-15 22:55:23+00:00,2504.0,8607,5
2071,35406818,2090276483,cc,7940.0,2019-04-16 01:53:14+00:00,1914.0,596,14
2072,35409823,2090276483,cash,3650.0,2019-04-16 13:25:21+00:00,2135.0,224,5
2073,35397293,2090276483,cash,5740.0,2019-04-15 16:01:26+00:00,1975.0,6097,14
2074,35397693,2090276483,cc,6750.0,2019-04-15 16:26:31+00:00,1119.0,1626,5
2075,35397744,2090276483,cc,3250.0,2019-04-15 16:29:23+00:00,6419.0,13714,5
2076,35393573,2090276484,cc,250.0,2019-04-15 12:43:13+00:00,3075.0,6237,14
